Going to be training for a total of 50000 episodes
Episode: 13000, reward: 148.7400690596041, steps: 1000
---------- testing now ----------
Mean reward achieved : 107.43686304410441 
--------------------------------------------------
Episode: 13100, reward: -32.7412695037611, steps: 165
Episode: 13200, reward: 163.65011371140235, steps: 1000
Episode: 13300, reward: 188.7348032869379, steps: 1000
Episode: 13400, reward: 136.38129772346755, steps: 1000
Episode: 13500, reward: 125.38011726386715, steps: 1000
---------- testing now ----------
Mean reward achieved : 99.00975355166251 
--------------------------------------------------
Episode: 13600, reward: 109.31477649861648, steps: 1000
Episode: 13700, reward: 129.43417343948008, steps: 1000
Episode: 13800, reward: 99.20040502025117, steps: 1000
Episode: 13900, reward: 92.76195691877803, steps: 1000
Episode: 14000, reward: 133.59490138253162, steps: 1000
---------- testing now ----------
Mean reward achieved : 133.05535409233892 
--------------------------------------------------
Episode: 14100, reward: 122.54841941693103, steps: 1000
Episode: 14200, reward: 129.86058917305658, steps: 1000
Episode: 14300, reward: 140.98005698848914, steps: 1000
Episode: 14400, reward: -17.267090623572628, steps: 90
Episode: 14500, reward: 119.24761597636085, steps: 1000
---------- testing now ----------
Mean reward achieved : 91.79351449516724 
--------------------------------------------------
Episode: 14600, reward: 129.06306475508862, steps: 1000
Episode: 14700, reward: 139.98439602314508, steps: 1000
Episode: 14800, reward: 14.234621338374902, steps: 1000
Episode: 14900, reward: 115.49871998255524, steps: 1000
Episode: 15000, reward: 22.290922381566467, steps: 1000
---------- testing now ----------
Mean reward achieved : 115.79392196531509 
--------------------------------------------------
Episode: 15100, reward: 102.88967166269715, steps: 1000
Episode: 15200, reward: 125.67251418291369, steps: 1000
Episode: 15300, reward: 135.44877505613977, steps: 1000
Episode: 15400, reward: 36.99929195815392, steps: 208
Episode: 15500, reward: 157.13346098881573, steps: 1000
---------- testing now ----------
Mean reward achieved : 145.47171936149203 
--------------------------------------------------
Episode: 15600, reward: 118.72255898626923, steps: 1000
Episode: 15700, reward: 143.9607870537636, steps: 1000
Episode: 15800, reward: 158.89047111876044, steps: 1000
Episode: 15900, reward: 154.7750392080891, steps: 1000
Episode: 16000, reward: 13.46195075281868, steps: 113
---------- testing now ----------
Mean reward achieved : 126.25078561180126 
--------------------------------------------------
Episode: 16100, reward: 126.4744840525071, steps: 1000
Episode: 16200, reward: 134.22356936203633, steps: 1000
Episode: 16300, reward: 162.24511424631976, steps: 1000
Episode: 16400, reward: 102.16365149544956, steps: 1000
Episode: 16500, reward: 146.5579027983469, steps: 1000
---------- testing now ----------
Mean reward achieved : 126.63175088716278 
--------------------------------------------------
Episode: 16600, reward: 28.709715510775908, steps: 194
Episode: 16700, reward: 165.83815160618423, steps: 1000
Episode: 16800, reward: 137.3247696108575, steps: 1000
Episode: 16900, reward: 10.775445478958048, steps: 206
Episode: 17000, reward: 149.77977433390467, steps: 1000
---------- testing now ----------
Mean reward achieved : 138.57917191322574 
--------------------------------------------------
Episode: 17100, reward: 52.05760070050823, steps: 218
Episode: 17200, reward: 110.3516347642233, steps: 1000
Episode: 17300, reward: 114.49837021026079, steps: 1000
Episode: 17400, reward: 226.4787296115821, steps: 200
Episode: 17500, reward: 91.10100593364115, steps: 1000
---------- testing now ----------
Mean reward achieved : 127.4081380879769 
--------------------------------------------------
Episode: 17600, reward: 212.94394498791132, steps: 526
Episode: 17700, reward: 123.50199034267867, steps: 1000
Episode: 17800, reward: 246.43829898104096, steps: 164
Episode: 17900, reward: 212.49653016331024, steps: 188
Episode: 18000, reward: -50.76268253881014, steps: 104
---------- testing now ----------
Mean reward achieved : 80.72548648356965 
--------------------------------------------------
Episode: 18100, reward: 134.41492755848137, steps: 1000
Episode: 18200, reward: 80.7904319776185, steps: 1000
Episode: 18300, reward: 236.36204217271353, steps: 222
Episode: 18400, reward: 101.0886338320884, steps: 1000
Episode: 18500, reward: 94.97462638713151, steps: 1000
---------- testing now ----------
Mean reward achieved : 122.38663226517 
--------------------------------------------------
Episode: 18600, reward: 245.62009599213124, steps: 155
Episode: 18700, reward: 238.5481594502619, steps: 212
Episode: 18800, reward: 10.907294786702124, steps: 145
Episode: 18900, reward: 231.87963594215637, steps: 263
Episode: 19000, reward: 249.9135957753425, steps: 266
---------- testing now ----------
Mean reward achieved : 166.58996814901965 
--------------------------------------------------
Episode: 19100, reward: 79.1240940713477, steps: 1000
Episode: 19200, reward: 230.231026904467, steps: 291
Episode: 19300, reward: 225.35694872788042, steps: 208
Episode: 19400, reward: -35.09060016433093, steps: 1000
Episode: 19500, reward: 187.01379677754886, steps: 252
---------- testing now ----------
Mean reward achieved : 153.95425973547844 
--------------------------------------------------
Episode: 19600, reward: 125.03910982367356, steps: 1000
Episode: 19700, reward: 94.69714789975454, steps: 1000
Episode: 19800, reward: 204.14024395914115, steps: 229
Episode: 19900, reward: 266.49120342861784, steps: 221
Episode: 20000, reward: 41.18574402126072, steps: 105
---------- testing now ----------
Mean reward achieved : 158.26284135341083 
--------------------------------------------------
Episode: 20100, reward: 206.49690916081465, steps: 795
Episode: 20200, reward: 74.37506367045995, steps: 1000
Episode: 20300, reward: 99.1700538846866, steps: 1000
Episode: 20400, reward: 191.89004446656008, steps: 418
Episode: 20500, reward: 221.04556301245077, steps: 883
---------- testing now ----------
Mean reward achieved : 169.24333526929368 
--------------------------------------------------
Episode: 20600, reward: -22.723788526679385, steps: 185
Episode: 20700, reward: 136.57337810121496, steps: 1000
Episode: 20800, reward: 120.46654663213435, steps: 1000
Episode: 20900, reward: 232.92562405354795, steps: 234
Episode: 21000, reward: 171.69002736315284, steps: 1000
---------- testing now ----------
Mean reward achieved : 139.86692218018024 
--------------------------------------------------
Episode: 21100, reward: 182.34311808458133, steps: 251
Episode: 21200, reward: 182.72380638644825, steps: 264
Episode: 21300, reward: 136.60634816839618, steps: 1000
Episode: 21400, reward: 90.38733634535785, steps: 1000
Episode: 21500, reward: 89.02065733800575, steps: 1000
---------- testing now ----------
Mean reward achieved : 147.49288789902232 
--------------------------------------------------
Episode: 21600, reward: 260.16833988559955, steps: 566
Episode: 21700, reward: 220.16539248371342, steps: 259
Episode: 21800, reward: 0.9479428195862738, steps: 87
Episode: 21900, reward: 247.90620013451445, steps: 954
Episode: 22000, reward: 218.04519451726975, steps: 256
---------- testing now ----------
Mean reward achieved : 113.35446317173019 
--------------------------------------------------
Episode: 22100, reward: 221.73756632751244, steps: 197
Episode: 22200, reward: 251.40236133661625, steps: 198
Episode: 22300, reward: 76.9897188803237, steps: 1000
Episode: 22400, reward: 267.1565490964182, steps: 242
Episode: 22500, reward: 133.45930759671518, steps: 1000
---------- testing now ----------
Mean reward achieved : 110.70305337732366 
--------------------------------------------------
Episode: 22600, reward: 25.38289153764501, steps: 95
Episode: 22700, reward: 270.1622873150058, steps: 215
Episode: 22800, reward: 238.03011988316354, steps: 263
Episode: 22900, reward: 255.6621590229451, steps: 199
Episode: 23000, reward: 213.27352471934108, steps: 281
---------- testing now ----------
Mean reward achieved : 127.00503768378489 
--------------------------------------------------
Episode: 23100, reward: 102.26965606463355, steps: 1000
Episode: 23200, reward: 204.2997771227894, steps: 618
Episode: 23300, reward: 149.243914046099, steps: 1000
Episode: 23400, reward: 136.91091313574424, steps: 1000
Episode: 23500, reward: 29.764704860243228, steps: 102
---------- testing now ----------
Mean reward achieved : 126.6368380926809 
--------------------------------------------------
Episode: 23600, reward: 192.1935815765588, steps: 245
Episode: 23700, reward: 43.134416678944746, steps: 80
Episode: 23800, reward: 9.669670561213948, steps: 72
Episode: 23900, reward: -17.47374593884065, steps: 1000
Episode: 24000, reward: 223.33380276268178, steps: 650
---------- testing now ----------
Mean reward achieved : 150.9174458617512 
--------------------------------------------------
Episode: 24100, reward: 33.058202856686336, steps: 71
Episode: 24200, reward: -5.637201064678365, steps: 68
Episode: 24300, reward: 16.620633370596536, steps: 105
Episode: 24400, reward: 109.05922404744713, steps: 1000
Episode: 24500, reward: 242.13218656185836, steps: 381
---------- testing now ----------
Mean reward achieved : 121.39987034423066 
--------------------------------------------------
Episode: 24600, reward: -0.8454144030929314, steps: 122
Episode: 24700, reward: 202.11119128098915, steps: 162
Episode: 24800, reward: 102.01920309594668, steps: 1000
Episode: 24900, reward: -21.175706910939795, steps: 73
Episode: 25000, reward: 11.007209288791898, steps: 98
---------- testing now ----------
Mean reward achieved : 101.53965393131458 
--------------------------------------------------
Episode: 25100, reward: -0.6988449005689716, steps: 80
Episode: 25200, reward: 118.01209414866932, steps: 1000
Episode: 25300, reward: 163.7907036659947, steps: 1000
Episode: 25400, reward: -54.32113488915363, steps: 62
Episode: 25500, reward: -6.783528368380942, steps: 67
---------- testing now ----------
Mean reward achieved : 101.4147716553845 
--------------------------------------------------
Episode: 25600, reward: 88.61236020626694, steps: 1000
Episode: 25700, reward: 185.51102692315473, steps: 270
Episode: 25800, reward: 236.3322743592219, steps: 248
Episode: 25900, reward: 24.826770273267613, steps: 74
Episode: 26000, reward: 106.81033786858261, steps: 1000
---------- testing now ----------
Mean reward achieved : 141.3420251634544 
--------------------------------------------------
Episode: 26100, reward: 182.11274023425295, steps: 1000
Episode: 26200, reward: 29.74598496795909, steps: 118
Episode: 26300, reward: 229.20235470390378, steps: 304
Episode: 26400, reward: 1.090591833540472, steps: 184
Episode: 26500, reward: 95.9333638355195, steps: 1000
---------- testing now ----------
Mean reward achieved : 116.2639389511481 
--------------------------------------------------
Episode: 26600, reward: 16.81129550215448, steps: 207
Episode: 26700, reward: 156.394912567413, steps: 361
Episode: 26800, reward: 197.8846358636276, steps: 201
Episode: 26900, reward: 187.52127208148627, steps: 242
Episode: 27000, reward: 216.65333564563434, steps: 226
---------- testing now ----------
Mean reward achieved : 94.76302210386093 
--------------------------------------------------
Episode: 27100, reward: 233.70858453150592, steps: 173
Episode: 27200, reward: 26.68671108572643, steps: 113
Episode: 27300, reward: 112.56624633048752, steps: 1000
Episode: 27400, reward: 271.98198424342934, steps: 286
Episode: 27500, reward: 44.90444166890103, steps: 95
---------- testing now ----------
Mean reward achieved : 132.8881529436447 
--------------------------------------------------
Episode: 27600, reward: 224.3425313274965, steps: 171
Episode: 27700, reward: 265.8378807698596, steps: 231
Episode: 27800, reward: -21.72492029600616, steps: 78
Episode: 27900, reward: 131.12715554647244, steps: 1000
Episode: 28000, reward: 214.96415465909575, steps: 170
---------- testing now ----------
Mean reward achieved : 149.92262692027884 
--------------------------------------------------
Episode: 28100, reward: 222.80565438434735, steps: 160
Episode: 28200, reward: 6.720467980685186, steps: 87
Episode: 28300, reward: 249.87985192250542, steps: 385
Episode: 28400, reward: -20.97616355773738, steps: 70
Episode: 28500, reward: -32.301959796922546, steps: 87
---------- testing now ----------
Mean reward achieved : 100.58609376295779 
--------------------------------------------------
Episode: 28600, reward: 108.52953383584416, steps: 1000
Episode: 28700, reward: 209.04348765662542, steps: 228
Episode: 28800, reward: 242.877267622355, steps: 277
Episode: 28900, reward: 228.99598406928078, steps: 191
Episode: 29000, reward: -25.498986537677, steps: 89
---------- testing now ----------
Mean reward achieved : 141.1260431198775 
--------------------------------------------------
Episode: 29100, reward: 228.74015428635906, steps: 218
Episode: 29200, reward: 129.783546819522, steps: 1000
Episode: 29300, reward: 142.76618467022283, steps: 1000
Episode: 29400, reward: 153.57131176033997, steps: 1000
Episode: 29500, reward: 155.65939947738832, steps: 1000
---------- testing now ----------
Mean reward achieved : 173.07812784373863 
--------------------------------------------------
Episode: 29600, reward: 218.93339194275097, steps: 183
Episode: 29700, reward: 18.027253529649755, steps: 1000
Episode: 29800, reward: 135.78136029198586, steps: 1000
Episode: 29900, reward: 226.1215288528449, steps: 242
Episode: 30000, reward: 167.2860404848412, steps: 1000
---------- testing now ----------
Mean reward achieved : 142.37519493706102 
--------------------------------------------------
Episode: 30100, reward: 159.46602903052366, steps: 1000
Episode: 30200, reward: 131.15661383966764, steps: 1000
Episode: 30300, reward: 175.6416228318803, steps: 498
Episode: 30400, reward: 248.57460943614097, steps: 205
Episode: 30500, reward: 188.86608057495104, steps: 1000
---------- testing now ----------
Mean reward achieved : 169.30872477898208 
--------------------------------------------------
Episode: 30600, reward: 142.3567069904485, steps: 1000
Episode: 30700, reward: 283.69558885553147, steps: 196
Episode: 30800, reward: 125.17656193892778, steps: 1000
Episode: 30900, reward: 216.8724666412583, steps: 276
Episode: 31000, reward: 128.53333710125315, steps: 1000
---------- testing now ----------
Mean reward achieved : 156.3345476325347 
--------------------------------------------------
Episode: 31100, reward: 245.4541609263663, steps: 166
Episode: 31200, reward: 117.42670831930408, steps: 1000
Episode: 31300, reward: 149.77669094180223, steps: 1000
Episode: 31400, reward: 140.1061626252911, steps: 1000
Episode: 31500, reward: 137.73433124780112, steps: 1000
---------- testing now ----------
Mean reward achieved : 143.5053654673654 
--------------------------------------------------
Episode: 31600, reward: 142.97347749051977, steps: 1000
Episode: 31700, reward: 138.5049037263474, steps: 1000
Episode: 31800, reward: 132.73086345610642, steps: 1000
Episode: 31900, reward: 139.29089938484285, steps: 1000
Episode: 32000, reward: 200.40967853207894, steps: 181
---------- testing now ----------
Mean reward achieved : 151.78211700933852 
--------------------------------------------------
Episode: 32100, reward: 140.5735248364395, steps: 1000
Episode: 32200, reward: 145.06793612608516, steps: 1000
Episode: 32300, reward: -23.0042094614425, steps: 100
Episode: 32400, reward: 183.02193431613972, steps: 1000
Episode: 32500, reward: 157.46415230974648, steps: 1000
---------- testing now ----------
Mean reward achieved : 170.188947731253 
--------------------------------------------------
Episode: 32600, reward: 133.25721936400416, steps: 1000
Episode: 32700, reward: 296.00476397330243, steps: 234
Episode: 32800, reward: 146.34250367636574, steps: 1000
Episode: 32900, reward: -26.42941053336382, steps: 136
Episode: 33000, reward: 255.76761179967065, steps: 135
---------- testing now ----------
Mean reward achieved : 162.34663638849344 
--------------------------------------------------
Episode: 33100, reward: 246.57389887443273, steps: 164
Episode: 33200, reward: 26.62224896338809, steps: 106
Episode: 33300, reward: 274.18330722468215, steps: 218
Episode: 33400, reward: 224.6403986690296, steps: 150
Episode: 33500, reward: 269.67944926035335, steps: 330
---------- testing now ----------
Mean reward achieved : 143.72905494363084 
--------------------------------------------------
Episode: 33600, reward: 238.596901859623, steps: 191
Episode: 33700, reward: -22.341765098666116, steps: 100
Episode: 33800, reward: 225.31250568329955, steps: 216
Episode: 33900, reward: 219.05564770723004, steps: 583
Episode: 34000, reward: 226.0031015598741, steps: 160
---------- testing now ----------
Mean reward achieved : 160.67460287606775 
--------------------------------------------------
Episode: 34100, reward: -35.37954895087208, steps: 64
Episode: 34200, reward: 82.14491281295449, steps: 1000
Episode: 34300, reward: 237.52145652770054, steps: 208
Episode: 34400, reward: 139.0895732745518, steps: 1000
Episode: 34500, reward: 270.6296802278411, steps: 155
---------- testing now ----------
Mean reward achieved : 123.48748617737107 
--------------------------------------------------
Episode: 34600, reward: 242.99844096590837, steps: 199
Episode: 34700, reward: 189.9856996834865, steps: 241
Episode: 34800, reward: 238.8514005878895, steps: 188
Episode: 34900, reward: 216.60812554925718, steps: 420
Episode: 35000, reward: 228.32652294979312, steps: 193
---------- testing now ----------
Mean reward achieved : 154.8391852123849 
--------------------------------------------------
Episode: 35100, reward: 119.88776178598755, steps: 1000
Episode: 35200, reward: 1.6045670613524265, steps: 92
Episode: 35300, reward: 31.52422000620075, steps: 104
Episode: 35400, reward: 54.30069007231805, steps: 89
Episode: 35500, reward: -171.05032783495136, steps: 232
---------- testing now ----------
Mean reward achieved : 122.70021109124623 
--------------------------------------------------
Episode: 35600, reward: 5.77690259415219, steps: 103
Episode: 35700, reward: 10.257340428105124, steps: 104
Episode: 35800, reward: 220.9826351852077, steps: 198
Episode: 35900, reward: 213.95862244829618, steps: 266
Episode: 36000, reward: -30.067768087676797, steps: 96
---------- testing now ----------
Mean reward achieved : 42.76207007004966 
--------------------------------------------------
Episode: 36100, reward: -0.875258126675547, steps: 73
Episode: 36200, reward: -44.899621535481245, steps: 96
Episode: 36300, reward: 215.65232592484236, steps: 153
Episode: 36400, reward: 160.88965550120722, steps: 1000
Episode: 36500, reward: -9.998250149609802, steps: 95
---------- testing now ----------
Mean reward achieved : 48.74631277280362 
--------------------------------------------------
Episode: 36600, reward: 231.64899718450485, steps: 134
Episode: 36700, reward: 25.245478666848143, steps: 81
Episode: 36800, reward: 40.00401750034348, steps: 85
Episode: 36900, reward: 224.17261973383177, steps: 160
Episode: 37000, reward: 113.18057443800181, steps: 1000
---------- testing now ----------
Mean reward achieved : 102.70113380689737 
--------------------------------------------------
Episode: 37100, reward: 36.39581892327732, steps: 95
Episode: 37200, reward: 10.30584838740306, steps: 82
Episode: 37300, reward: 193.78474111706856, steps: 467
Episode: 37400, reward: -11.738172691271473, steps: 95
Episode: 37500, reward: 217.8485154328576, steps: 190
---------- testing now ----------
Mean reward achieved : 89.50259048326032 
--------------------------------------------------
Episode: 37600, reward: -26.830511585693785, steps: 60
Episode: 37700, reward: -58.38066646581427, steps: 87
Episode: 37800, reward: 5.517292069799765, steps: 101
Episode: 37900, reward: 235.52365154646944, steps: 382
Episode: 38000, reward: 4.1001277215548555, steps: 95
---------- testing now ----------
Mean reward achieved : 61.058385345293075 
--------------------------------------------------
Episode: 38100, reward: -25.87212730980916, steps: 81
Episode: 38200, reward: -4.033979275889578, steps: 99
Episode: 38300, reward: 27.492333651793132, steps: 78
Episode: 38400, reward: 258.3552649049775, steps: 440
Episode: 38500, reward: 35.709708178806096, steps: 109
---------- testing now ----------
Mean reward achieved : 88.14841592879169 
--------------------------------------------------
Episode: 38600, reward: 19.4948118469877, steps: 85
Episode: 38700, reward: 123.10477200797436, steps: 1000
Episode: 38800, reward: 191.24537885424118, steps: 267
Episode: 38900, reward: 20.863764788685287, steps: 104
Episode: 39000, reward: 243.48512066711675, steps: 171
---------- testing now ----------
Mean reward achieved : 13.185279795833365 
--------------------------------------------------
Episode: 39100, reward: -30.460926355502735, steps: 85
Episode: 39200, reward: -40.74491972609697, steps: 70
Episode: 39300, reward: 15.25677464306024, steps: 94
Episode: 39400, reward: 241.40844464243068, steps: 181
Episode: 39500, reward: 138.58434578527755, steps: 1000
---------- testing now ----------
Mean reward achieved : 145.20377710854814 
--------------------------------------------------
Episode: 39600, reward: 53.445768915981006, steps: 72
Episode: 39700, reward: 42.740565953356025, steps: 111
Episode: 39800, reward: 116.40372291234576, steps: 1000
Episode: 39900, reward: 249.18331151116817, steps: 186
Episode: 40000, reward: -8.437690085542997, steps: 97
---------- testing now ----------
Mean reward achieved : 23.513848781527027 
--------------------------------------------------
Episode: 40100, reward: 14.489265115956087, steps: 98
Episode: 40200, reward: 190.7468397916928, steps: 262
Episode: 40300, reward: -13.286601286361048, steps: 100
Episode: 40400, reward: 7.217084575586, steps: 66
Episode: 40500, reward: 35.647532186517225, steps: 69
---------- testing now ----------
Mean reward achieved : 63.04691860132783 
--------------------------------------------------
Episode: 40600, reward: 237.870634895821, steps: 482
Episode: 40700, reward: 22.516242036122947, steps: 88
Episode: 40800, reward: 65.04226733724894, steps: 1000
